



 PAIRING FACTOR=  0.500

 M*,R0  A DEPENDENT AND ALP= 0.600

 WITHOUT BOTTOM RAISING



 ALL-F
 ALL-G-T
 1ST-0A
 1ST-1V
 1ST-1A
 1ST-2A

 MODIFIED  LORENTZ TYPE II + HYPERBOLIC-SEC

 SIGMA1,2 INDEPEND ON THE MASS NUMBER AND SIGMA3=     40.00
 GAMMA=      100.00
 C1= 0.700     C2= 0.300

-----------------------------------------------------------


Calculated by using Gross Theory ver.2  with KTUY mass formula




 Beta    Z    N    A       Q-value   Half-life
 
minus                       (MeV)       (sec)

   -1   12   31   43        27.7888  0.5547E-03
   -1   12   32   44        26.6559  0.4069E-03
   -1   12   33   45        29.1719  0.3906E-03
   -1   12   34   46        28.7550  0.2607E-03
   -1   12   35   47        32.3949  0.2067E-03
   -1   12   36   48        30.7540  0.1753E-03
   -1   13   15   28         4.3989  0.5507E+02
   -1   13   16   29         3.4696  0.6855E+02
   -1   13   17   30         8.8769  0.3799E+01
   -1   13   18   31         7.5308  0.1965E+01
   -1   13   19   32        12.0499  0.5618E+00
   -1   13   20   33        11.0664  0.2373E+00
   -1   13   21   34        16.1783  0.7284E-01
   -1   13   22   35        14.8750  0.3762E-01
   -1   13   23   36        18.6111  0.2410E-01
   -1   13   24   37        17.4639  0.1268E-01
   -1   13   25   38        21.0956  0.8911E-02
   -1   13   26   39        20.0668  0.4953E-02
   -1   13   27   40        23.6526  0.3673E-02
   -1   13   28   41        22.7784  0.2148E-02
   -1   13   29   42        26.8851  0.1446E-02
   -1   13   30   43        25.7740  0.9745E-03
   -1   13   31   44        28.8897  0.8374E-03
   -1   13   32   45        27.9483  0.5706E-03
   -1   13   33   46        31.1080  0.4869E-03
   -1   13   34   47        30.0704  0.3528E-03
   -1   13   35   48        33.7401  0.2763E-03
   -1   13   36   49        31.9238  0.2368E-03
   -1   13   37   50        34.0961  0.2389E-03
   -1   13   38   51        32.9874  0.1846E-03
   -1   13   39   52        35.6970  0.1697E-03
   -1   14   17   31         1.4587  0.2602E+04
   -1   14   18   32         0.0594  0.4554E+08
   -1   14   19   33         4.5256  0.2091E+02
   -1   14   20   34         3.2289  0.2280E+02
   -1   14   21   35         8.5018  0.9972E+00
   -1   14   22   36         7.2401  0.4965E+00
   -1   14   23   37        11.1487  0.1963E+00
   -1   14   24   38         9.9152  0.9661E-01
   -1   14   25   39        13.5700  0.5449E-01
   -1   14   26   40        12.4325  0.2795E-01
   -1   14   27   41        15.8814  0.1878E-01
   -1   14   28   42        14.7706  0.1041E-01
   -1   14   29   43        19.1790  0.5479E-02
   -1   14   30   44        18.0130  0.3470E-02
   -1   14   31   45        21.1028  0.2863E-02
   -1   14   32   46        19.9269  0.1929E-02
   -1   14   33   47        23.5915  0.1395E-02
   -1   14   34   48        22.7457  0.9223E-03
   -1   14   35   49        26.7989  0.6338E-03
   -1   14   36   50        25.7011  0.4684E-03
   -1   14   37   51        28.5041  0.4191E-03
   -1   14   38   52        27.3197  0.3237E-03
   -1   14   39   53        29.6967  0.3120E-03
   -1   14   40   54        28.3397  0.2529E-03
   -1   14   41   55        31.2192  0.2228E-03
   -1   14   42   56        30.4044  0.1676E-03
   -1   15   17   32         2.1618  0.9554E+03
   -1   15   18   33         0.6706  0.5176E+05
   -1   15   19   34         5.3286  0.4594E+02
   -1   15   20   35         3.9561  0.3828E+02
   -1   15   21   36         9.3431  0.2573E+01
   -1   15   22   37         8.0165  0.1360E+01
   -1   15   23   38        12.1569  0.4583E+00
   -1   15   24   39        11.1004  0.2074E+00
   -1   15   25   40        14.8545  0.1074E+00
   -1   15   26   41        13.5224  0.5791E-01
   -1   15   27   42        16.9353  0.3828E-01
   -1   15   28   43        15.6857  0.2120E-01
   -1   15   29   44        20.2304  0.9986E-02
   -1   15   30   45        19.1011  0.5895E-02
   -1   15   31   46        22.3224  0.4640E-02
   -1   15   32   47        21.1503  0.2978E-02
   -1   15   33   48        24.5644  0.2263E-02
   -1   15   34   49        23.5154  0.1497E-02
   -1   15   35   50        27.0421  0.1130E-02
   -1   15   36   51        25.9383  0.7985E-03
   -1   15   37   52        28.9995  0.6763E-03
   -1   15   38   53        28.1044  0.4762E-03
   -1   15   39   54        30.9905  0.4192E-03
   -1   15   40   55        29.8133  0.3217E-03
   -1   15   41   56        32.3787  0.2993E-03
   -1   15   42   57        31.2921  0.2308E-03
   -1   15   43   58        33.8738  0.2142E-03
   -1   15   44   59        32.8066  0.1681E-03
   -1   16   21   37         3.6433  0.5985E+02
