In132,0.202016,0.0060458,0.109556,0.0102977,0.000933296,0.0128488,39.0833,450,0.05,9.05
In133,0.166057,0.00106444,0.860177,0.00574941,0.0115972,0.00118473,32.6685,225,0.05,9.05
In134,0.130821,0.00114771,0.784714,0.00973782,0.145577,0.00443426,36.7893,225,0.05,9.05
In135,0.103562,0.00295312,0.833815,0.0212503,0.0977065,0.00971988,39.8371,225,0.05,9.05
Sn134,0.985245,0.036524,0.244888,0.0180628,3.13465e-11,0.0137002,36.6316,150,0.05,9.05
Sn135,0.474661,0.0224423,0.206559,0.0193251,9.41813e-11,0.00843755,28.5049,150,0.05,9.05
Sn136,0.354472,0.00330062,0.195437,0.00431657,0.0061677,0.00107654,42.3845,225,0.05,9.05
Sn137,0.234433,0.00377432,0.221084,0.0103925,0.0134461,0.00234407,39.9194,225,0.05,9.05
Sn138,0.160497,0.0102227,0.244646,0.044848,0.000502202,0.0327676,37.2446,100,0.05,9.05
Ag130,0.0414069,0.00415073,0.677997,0.054967,0.0218485,0.01803,38.5539,225,0.05,9.05
Ag131,0.0328715,0.00433426,0.891985,0.141552,3.13367e-09,0.132472,38.8989,150,0.05,9.05
Cd129,0.147042,0.0040367,0.0248024,0.0055785,0.00642493,0.0037166,34.6139,450,0.05,9.05
Cd130,0.134441,0.000860294,0.0380059,0.00192353,0.0140878,0.000926342,38.9466,900,0.05,9.05
Cd131,0.0976312,0.00130991,0.153888,0.00532287,0.0150378,0.00185532,32.7722,450,0.05,9.05
Cd132,0.0813035,0.00239575,0.907871,0.0260705,0.0349972,0.00554328,33.5573,225,0.05,9.05
Cd133,0.0541818,0.00563969,0.818399,0.0810928,0.059511,0.0284117,40.1964,225,0.05,9.05
In131,0.2748,0.0048284,0.0434015,0.00365513,0.00231381,0.00205464,36.6825,450,0.05,9.05
In132,0.203113,0.00607066,0.110473,0.00992684,0.00384902,0.00574288,39.1098,450,0.05,9.05
In133,0.165957,0.00107325,0.8482,0.00580187,0.0262484,0.00156346,32.699,225,0.05,9.05
In134,0.131563,0.00116431,0.757746,0.00983233,0.165337,0.00469908,37.0009,225,0.05,9.05
In135,0.102968,0.00294661,0.793254,0.0218254,0.117158,0.0104689,40.0668,225,0.05,9.05
Sn134,0.989861,0.0368527,0.253241,0.0188325,0.000870531,0.00738692,36.8724,150,0.05,9.05
