# HybridConf_140b_V68_Jul16Jul17.geo					
# Point neutron source					
# Total Events	25000				
# Code 	brikenV68				
# Date 	13Feb18				
# Calculations by A. Navarro/A. Tarifeño-Saldivia					
# Efficiency	(0,0,-10)	(0,0,0)	(0,0,10)		
# Average [1e-4, 1] MeV	70.25%	68.24%	70.37%		
# Average [1e-4, 5] MeV	62.81%	62.68%	62.76%		
# Average [1e-4, 10] MeV	54.10%	54.44%	54.08%		
#					
#X/cm	Y/cm	Z/cm	Energy/MeV	Efficiency	Std. Error
0	0	0	1.5	0.6451	0.0051
0	0	0	1.6	0.641	0.0051
0	0	0	1.7	0.6404	0.0051
0	0	0	1.8	0.6378	0.0051
0	0	0	1.9	0.63	0.005
0	0	0	2	0.6341	0.005
0	0	0	2.1	0.6267	0.005
0	0	0	2.2	0.6193	0.005
0	0	0	2.3	0.6195	0.005
0	0	0	2.4	0.6142	0.005
0	0	0	2.5	0.6051	0.0049
0	0	0	2.6	0.6064	0.0049
0	0	0	2.7	0.6017	0.0049
0	0	0	2.8	0.6008	0.0049
0	0	0	2.9	0.6089	0.0049
0	0	0	3	0.59	0.0049
0	0	0	3.1	0.599	0.0049
0	0	0	3.2	0.5918	0.0049
0	0	0	3.3	0.596	0.0049
0	0	0	3.4	0.5925	0.0049
0	0	0	3.5	0.5862	0.0048
0	0	0	3.6	0.5866	0.0048
0	0	0	3.7	0.5852	0.0048
0	0	0	3.8	0.5831	0.0048
0	0	0	3.9	0.5759	0.0048
0	0	0	4	0.571	0.0048
0	0	0	4.1	0.5649	0.0048
0	0	0	4.2	0.5569	0.0047
0	0	0	4.3	0.5502	0.0047
0	0	0	4.4	0.5496	0.0047
0	0	0	4.5	0.5445	0.0047
0	0	0	4.6	0.5352	0.0046
0	0	0	4.7	0.5328	0.0046
0	0	0	4.8	0.5206	0.0046
0	0	0	4.9	0.525	0.0046
0	0	0	5	0.5209	0.0046
0	0	0	5.1	0.512	0.0045
0	0	0	5.2	0.5122	0.0045
0	0	0	5.3	0.512	0.0045
0	0	0	5.4	0.512	0.0045
0	0	0	5.5	0.5002	0.0045
0	0	0	5.6	0.5046	0.0045
0	0	0	5.7	0.5025	0.0045
0	0	0	5.8	0.4952	0.0045
0	0	0	5.9	0.4908	0.0044
0	0	0	6	0.4934	0.0044
0	0	0	6.1	0.4905	0.0044
0	0	0	6.2	0.4922	0.0044
0	0	0	6.3	0.5079	0.0045
0	0	0	6.4	0.4777	0.0044
0	0	0	6.5	0.4723	0.0043
0	0	0	6.6	0.4664	0.0043
0	0	0	6.7	0.4646	0.0043
0	0	0	6.8	0.4652	0.0043
0	0	0	6.9	0.4589	0.0043
0	0	0	7	0.454	0.0043
0	0	0	7.1	0.4513	0.0042
0	0	0	7.2	0.4431	0.0042
0	0	0	7.3	0.4458	0.0042
0	0	0	7.4	0.455	0.0043
0	0	0	7.5	0.4588	0.0043
0	0	0	7.6	0.4545	0.0043
0	0	0	7.7	0.454	0.0043
0	0	0	7.8	0.4478	0.0042
0	0	0	7.9	0.4409	0.0042
0	0	0	8	0.4414	0.0042
0	0	0	8.1	0.4352	0.0042
0	0	0	8.2	0.4318	0.0042
0	0	0	8.3	0.4132	0.0041
0	0	0	8.4	0.411	0.0041
