# HybridConf_140b_V68_Jul16Jul17.geo					
# Point neutron source					
# Total Events	250000				
# Code 	brikenV69				
# Date 	04May18				
# Calculations by A. Navarro/A. Tarifeño-Saldivia					
# Efficiency	(0,0,-10)	(0,0,0)	(0,0,10)		
# Average [1e-4, 1] MeV	69.03%	67.03%	69.00%		
# Average [1e-4, 5] MeV	62.01%	61.55%	61.87%		
# Average [1e-4, 10] MeV	53.78%	53.66%	53.66%		
#					
#X/cm	Y/cm	Z/cm	Energy/MeV	Efficiency	Std. Error
0	0	-7.5	5.5	0.5034	0.0014
0	0	-7.5	5.6	0.5016	0.0014
0	0	-7.5	5.7	0.497	0.0014
0	0	-7.5	5.8	0.4941	0.0014
0	0	-7.5	5.9	0.4925	0.0014
0	0	-7.5	6	0.4903	0.0014
0	0	-7.5	6.1	0.4899	0.0014
0	0	-7.5	6.2	0.4905	0.0014
0	0	-7.5	6.3	0.5089	0.0014
0	0	-7.5	6.4	0.4802	0.0014
0	0	-7.5	6.5	0.4706	0.0014
0	0	-7.5	6.6	0.4647	0.0014
0	0	-7.5	6.7	0.4642	0.0014
0	0	-7.5	6.8	0.4586	0.0014
0	0	-7.5	6.9	0.4564	0.0014
0	0	-7.5	7	0.452	0.0013
0	0	-7.5	7.1	0.4491	0.0013
0	0	-7.5	7.2	0.446	0.0013
0	0	-7.5	7.3	0.4456	0.0013
0	0	-7.5	7.4	0.4544	0.0013
0	0	-7.5	7.5	0.4568	0.0014
0	0	-7.5	7.6	0.4555	0.0013
0	0	-7.5	7.7	0.4557	0.0014
0	0	-7.5	7.8	0.4552	0.0013
0	0	-7.5	7.9	0.4434	0.0013
0	0	-7.5	8	0.438	0.0013
0	0	-7.5	8.1	0.4385	0.0013
0	0	-7.5	8.2	0.4297	0.0013
0	0	-7.5	8.3	0.4179	0.0013
0	0	-7.5	8.4	0.4138	0.0013
0	0	-7.5	8.5	0.4107	0.0013
0	0	-7.5	8.6	0.4111	0.0013
0	0	-7.5	8.7	0.4107	0.0013
0	0	-7.5	8.8	0.4073	0.0013
0	0	-7.5	8.9	0.4018	0.0013
0	0	-7.5	9	0.3947	0.0013
0	0	-7.5	9.1	0.3914	0.0013
0	0	-7.5	9.2	0.3862	0.0012
0	0	-7.5	9.3	0.3811	0.0012
0	0	-7.5	9.4	0.3811	0.0012
0	0	-7.5	9.5	0.3792	0.0012
0	0	-7.5	9.6	0.3784	0.0012
0	0	-7.5	9.7	0.3774	0.0012
0	0	-7.5	9.8	0.3718	0.0012
0	0	-7.5	9.9	0.3699	0.0012
0	0	-7.5	10	0.3671	0.0012
					
0	0	-5	0.000000001	0.5369	0.0015
0	0	-5	0.000000004	0.5489	0.0015
0	0	-5	0.000000007	0.5605	0.0015
0	0	-5	0.00000001	0.5644	0.0015
0	0	-5	0.00000004	0.5957	0.0015
0	0	-5	0.00000007	0.613	0.0016
0	0	-5	0.0000001	0.6269	0.0016
0	0	-5	0.0000004	0.6567	0.0016
0	0	-5	0.0000007	0.6632	0.0016
0	0	-5	0.000001	0.6701	0.0016
0	0	-5	0.000004	0.6784	0.0016
0	0	-5	0.000007	0.6812	0.0017
0	0	-5	0.00001	0.6827	0.0017
0	0	-5	0.00004	0.6851	0.0017
0	0	-5	0.00007	0.6851	0.0017
0	0	-5	0.0001	0.6842	0.0017
0	0	-5	0.0004	0.6813	0.0017
0	0	-5	0.0007	0.6818	0.0017
0	0	-5	0.001	0.683	0.0017
0	0	-5	0.004	0.6802	0.0016
0	0	-5	0.007	0.679	0.0016
0	0	-5	0.01	0.6802	0.0016
0	0	-5	0.04	0.6784	0.0016
0	0	-5	0.07	0.6782	0.0016
0	0	-5	0.1	0.6787	0.0016
0	0	-5	0.2	0.679	0.0016
0	0	-5	0.3	0.6747	0.0016
0	0	-5	0.4	0.6734	0.0016
0	0	-5	0.5	0.6719	0.0016
0	0	-5	0.6	0.6698	0.0016
0	0	-5	0.7	0.6642	0.0016
0	0	-5	0.8	0.663	0.0016
0	0	-5	0.9	0.6597	0.0016
0	0	-5	1	0.6562	0.0016
0	0	-5	1.1	0.6532	0.0016
0	0	-5	1.2	0.6493	0.0016
0	0	-5	1.3	0.6461	0.0016
0	0	-5	1.4	0.6426	0.0016
0	0	-5	1.5	0.637	0.0016
0	0	-5	1.6	0.6334	0.0016
0	0	-5	1.7	0.6322	0.0016
0	0	-5	1.8	0.6263	0.0016
0	0	-5	1.9	0.6219	0.0016
0	0	-5	2	0.6208	0.0016
0	0	-5	2.1	0.6174	0.0016
0	0	-5	2.2	0.6135	0.0016
0	0	-5	2.3	0.6108	0.0016
0	0	-5	2.4	0.6065	0.0016
0	0	-5	2.5	0.6019	0.0016
0	0	-5	2.6	0.5997	0.0015
0	0	-5	2.7	0.5978	0.0015
0	0	-5	2.8	0.5971	0.0015
0	0	-5	2.9	0.5986	0.0015
0	0	-5	3	0.5828	0.0015
0	0	-5	3.1	0.5857	0.0015
0	0	-5	3.2	0.5875	0.0015
0	0	-5	3.3	0.5865	0.0015
0	0	-5	3.4	0.588	0.0015
0	0	-5	3.5	0.5852	0.0015
0	0	-5	3.6	0.5817	0.0015
0	0	-5	3.7	0.5782	0.0015
0	0	-5	3.8	0.5738	0.0015
0	0	-5	3.9	0.5694	0.0015
0	0	-5	4	0.5635	0.0015
0	0	-5	4.1	0.5598	0.0015
0	0	-5	4.2	0.5553	0.0015
0	0	-5	4.3	0.5433	0.0015
0	0	-5	4.4	0.5416	0.0015
0	0	-5	4.5	0.5379	0.0015
0	0	-5	4.6	0.5305	0.0015
0	0	-5	4.7	0.5298	0.0015
0	0	-5	4.8	0.5227	0.0014
0	0	-5	4.9	0.5199	0.0014
0	0	-5	5	0.5169	0.0014
0	0	-5	5.1	0.5134	0.0014
0	0	-5	5.2	0.5112	0.0014
0	0	-5	5.3	0.5056	0.0014
0	0	-5	5.4	0.5056	0.0014
0	0	-5	5.5	0.502	0.0014
0	0	-5	5.6	0.4992	0.0014
0	0	-5	5.7	0.4953	0.0014
0	0	-5	5.8	0.4953	0.0014
0	0	-5	5.9	0.4938	0.0014
0	0	-5	6	0.4902	0.0014
0	0	-5	6.1	0.4897	0.0014
0	0	-5	6.2	0.491	0.0014
0	0	-5	6.3	0.507	0.0014
0	0	-5	6.4	0.4804	0.0014
0	0	-5	6.5	0.4716	0.0014
0	0	-5	6.6	0.4646	0.0014
0	0	-5	6.7	0.4626	0.0014
0	0	-5	6.8	0.461	0.0014
0	0	-5	6.9	0.4559	0.0014
0	0	-5	7	0.4526	0.0013
0	0	-5	7.1	0.4499	0.0013
0	0	-5	7.2	0.4455	0.0013
0	0	-5	7.3	0.4442	0.0013
0	0	-5	7.4	0.4542	0.0013
0	0	-5	7.5	0.4594	0.0014
0	0	-5	7.6	0.4571	0.0014
0	0	-5	7.7	0.4554	0.0013
0	0	-5	7.8	0.453	0.0013
0	0	-5	7.9	0.4424	0.0013
0	0	-5	8	0.4399	0.0013
0	0	-5	8.1	0.438	0.0013
0	0	-5	8.2	0.4297	0.0013
0	0	-5	8.3	0.418	0.0013
0	0	-5	8.4	0.4128	0.0013
0	0	-5	8.5	0.4118	0.0013
0	0	-5	8.6	0.4109	0.0013
0	0	-5	8.7	0.4075	0.0013
0	0	-5	8.8	0.4087	0.0013
0	0	-5	8.9	0.4017	0.0013
0	0	-5	9	0.3959	0.0013
0	0	-5	9.1	0.3912	0.0013
0	0	-5	9.2	0.3856	0.0012
0	0	-5	9.3	0.3829	0.0012
0	0	-5	9.4	0.3783	0.0012
0	0	-5	9.5	0.3775	0.0012
0	0	-5	9.6	0.3796	0.0012
0	0	-5	9.7	0.3745	0.0012
0	0	-5	9.8	0.3724	0.0012
0	0	-5	9.9	0.3693	0.0012
0	0	-5	10	0.3658	0.0012
					
0	0	-2.5	0.000000001	0.5186	0.0014
0	0	-2.5	0.000000004	0.5322	0.0015
0	0	-2.5	0.000000007	0.5415	0.0015
0	0	-2.5	0.00000001	0.5483	0.0015
0	0	-2.5	0.00000004	0.5807	0.0015
0	0	-2.5	0.00000007	0.5998	0.0015
0	0	-2.5	0.0000001	0.6111	0.0016
0	0	-2.5	0.0000004	0.6453	0.0016
0	0	-2.5	0.0000007	0.6545	0.0016
0	0	-2.5	0.000001	0.6587	0.0016
0	0	-2.5	0.000004	0.6671	0.0016
0	0	-2.5	0.000007	0.6741	0.0016
0	0	-2.5	0.00001	0.6745	0.0016
0	0	-2.5	0.00004	0.677	0.0016
0	0	-2.5	0.00007	0.6779	0.0016
0	0	-2.5	0.0001	0.6788	0.0016
0	0	-2.5	0.0004	0.6774	0.0016
0	0	-2.5	0.0007	0.6782	0.0016
0	0	-2.5	0.001	0.678	0.0016
0	0	-2.5	0.004	0.6767	0.0016
0	0	-2.5	0.007	0.6738	0.0016
0	0	-2.5	0.01	0.675	0.0016
0	0	-2.5	0.04	0.6727	0.0016
0	0	-2.5	0.07	0.6729	0.0016
0	0	-2.5	0.1	0.6758	0.0016
0	0	-2.5	0.2	0.6743	0.0016
0	0	-2.5	0.3	0.6729	0.0016
0	0	-2.5	0.4	0.6724	0.0016
0	0	-2.5	0.5	0.6688	0.0016
0	0	-2.5	0.6	0.6664	0.0016
0	0	-2.5	0.7	0.6646	0.0016
0	0	-2.5	0.8	0.662	0.0016
0	0	-2.5	0.9	0.6609	0.0016
0	0	-2.5	1	0.655	0.0016
0	0	-2.5	1.1	0.6531	0.0016
0	0	-2.5	1.2	0.6515	0.0016
0	0	-2.5	1.3	0.6462	0.0016
0	0	-2.5	1.4	0.6417	0.0016
0	0	-2.5	1.5	0.6388	0.0016
0	0	-2.5	1.6	0.636	0.0016
0	0	-2.5	1.7	0.6313	0.0016
0	0	-2.5	1.8	0.6277	0.0016
